datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-03-06 14:00:00,XOM,NYSE,113.35,113.36,113.34,0.2882316424448527,0.4288273259579259,0.2530005263843519,0.2464054580096932,0.2489146542377894,0.2040295091095527,110.12376960318132,0.2271754883952023,0.2913986719014985,62.6976762286585,-0.5602470656416217,107.74909028065032,0.2489823567061412,0.1445202816286779,13.36363652646687,0.0007001736108981,0.0425141107903264,0.031468842,0.0472499999999999,6476525,14119870,111.99,113.69,111.87,0.5751841554416431,0.3477207665363729
2023-03-06 16:15:00,XOM,NYSE,113.79,113.79,113.79,0.2882316424448527,0.4288273259579259,0.2521454639561803,0.2355341966793617,0.2457776180652836,0.2040295079319314,110.34453311854108,0.2262036120313686,0.2893571118712579,65.42584808746349,-0.5476498856602584,108.13184243785297,0.2489823567061412,0.1445202816286779,13.363636369064954,0.0007001735583969,0.041846270150493,0.031468842,0.047279997,10995653,14119870,111.99,113.835,111.87,0.5751841554416431,0.3477207665363729
2023-03-08 10:00:00,XOM,NYSE,111.61,111.61,111.61,0.2845102038647559,0.4284187095700556,0.2738152088707294,0.2540443495403274,0.2633303618135313,0.2539987856655112,110.26493338002824,0.2548599912095152,0.2922687916390352,42.01552964627546,-0.4346876942337183,107.40552074750664,0.2470526217970049,0.101317197112718,13.363636363636363,0.0009951992724025,0.0267725556361882,0.031192338,0.048450003,11481613,13477960,112.81,113.17,111.17,0.5721112455437046,0.3023725685828728
2023-03-10 14:00:00,XOM,NYSE,109.705,108.51,110.9,0.2845102038647559,0.4284187095700556,0.2752245364632196,0.3034793214730195,0.289222435293648,0.2776458539627621,107.93887611310268,0.276659563253981,0.3157645335487603,28.53888865938337,-0.4683228528588893,107.51711502529083,0.2470526217970049,0.101317197112718,13.3636363856459,0.0009951901554228,0.0267725556380787,0.032278594,0.0484799999999999,12883867,13303590,110.87,112.23,109.03,0.5721112455437046,0.3023725685828728
2023-03-20 14:00:00,XOM,NYSE,102.06,102.03,102.09,0.2913514205379124,0.3337819508276877,0.3300461518065915,0.301913840804038,0.3208899791558118,0.3072381577759885,112.48779101363762,0.3001053275580536,0.3404734432897252,-2.4907706270468983,-0.2391378798699388,102.64325155133024,0.5946539105348512,0.3840221631043015,13.363636363636363,0.0098729413538569,0.0227256698084756,0.03555689,0.04468,11910627,20353350,99.63,102.17,99.5,0.4711120017408485,0.6647051237566098
2023-03-20 16:15:00,XOM,NYSE,102.18,102.18,102.18,0.2913514205379124,0.3337819508276877,0.3244841919854937,0.3002900552266715,0.3174741350916313,0.3019947958706943,112.74241082021118,0.2953700845117555,0.3350868901334848,-3.1674398895160327,-0.2317083325079002,102.6840723086816,0.5946539105348512,0.3840221631043015,13.36363636363645,0.009872941353853,0.0227256698084756,0.03555689,0.0446499999999999,20806775,20353350,99.63,102.28,99.5,0.4711120017408485,0.6647051237566098
2023-03-21 10:00:00,XOM,NYSE,105.555,105.57,105.54,0.2863417429851698,0.3269323284602019,0.3442462240125769,0.2518668993824168,0.3046942207016678,0.3051414837847485,110.25232310095032,0.2973516069594857,0.3393002761551282,15.913609198403783,-0.7255736673532934,102.07132528644962,0.5368834511047954,0.4174783333586614,13.363636363636395,0.0097277707025887,0.0226451951316284,0.03465105,0.04663,3288716,22121400,104.17,106.71,104.19,0.4603377895872778,0.6421612375212424
2023-03-21 14:00:00,XOM,NYSE,106.815,106.8,106.83,0.2863417429851698,0.3269323284602019,0.2852557182767742,0.3029057809882701,0.3052397020483515,0.2896556133972904,109.73269694334452,0.2834378518018082,0.3240284311388635,28.14524717071743,-0.7658146261052611,102.23892847890734,0.5368834511047954,0.4174783333586614,13.363636363944476,0.0097277707025885,0.0226451951316332,0.03465105,0.0460299969999999,12699856,22121400,104.17,106.965,104.19,0.4603377895872778,0.6421612375212424
2023-03-21 16:15:00,XOM,NYSE,107.08,107.08,107.08,0.2863417429851698,0.3269323284602019,0.3079602940550759,0.2852929988087531,0.3025075784464793,0.2920545153689358,109.63433379856308,0.2856556850156742,0.3265576257553586,27.27625334452178,-0.7696986169042432,101.19842562986332,0.5368834511047954,0.4174783333586614,13.363636363652622,0.0097277707025885,0.0226451951316423,0.03465105,0.04605,20717526,22121400,104.17,107.28,104.19,0.4603377895872778,0.6421612375212424
2023-03-22 10:51:00,XOM,NYSE,106.47,106.46,106.48,0.2863417429851698,0.3269323284602019,0.3208324805073725,0.2772273331384648,0.3046853674098611,0.296423593482325,110.19524308173344,0.291161314860793,0.3288509733261048,19.826487938210995,-0.839755576551924,101.99088892834048,0.5368834511047954,0.4174783333586614,13.36363636363701,0.0097277707025885,0.0226451951316296,0.03316517,0.0460800029999999,2643520,24128610,106.8,107.175,106.061,0.4603377895872778,0.6421612375212424
2023-03-22 14:00:00,XOM,NYSE,106.255,106.23,106.28,0.2863417429851698,0.3269323284602019,0.328158394679572,0.2833602686002588,0.3079327521267858,0.3001959037088959,109.74831037424336,0.2944000791308032,0.3321374147739808,21.192121263992163,-0.8161412920795138,102.89362761301936,0.5368834511047954,0.4174783333586614,13.363636363636752,0.0097277707025885,0.0226451951316291,0.03316517,0.0460299969999999,6597402,24128610,106.8,107.175,105.97,0.4603377895872778,0.6421612375212424
2023-03-22 16:15:00,XOM,NYSE,104.58,104.58,104.58,0.2918166193262205,0.3490349755746432,0.3192165872997265,0.2900140935765691,0.3147762609178768,0.3038500538934445,108.58563874179347,0.2997158750718336,0.3383873534900621,10.230503912678282,-0.495518469463698,98.78785547232212,0.4928037186841079,0.2527606172274308,13.363636363636363,0.0096084695596532,0.0226132915463251,0.03316517,0.04563,12896271,24128610,106.8,107.175,104.56,0.4732911932618091,0.5286403213904767
